 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000015573    -0.000781855      0.000000003     0.000000007
     2     0.000041209    -0.000781855     -0.000000007     0.000000045
     3    -0.000010032    -0.000781872     -0.000000006    -0.000000060
     4     0.000041195    -0.000754107      0.000000016    -0.000000112
     5    -0.000009481    -0.000754272      0.000000010    -0.000000060
     6     0.000015842    -0.000754137      0.000000015     0.000000015
     7     0.000066864    -0.000781856      0.000000009     0.000000022
     8     0.000066866    -0.000754145      0.000000003    -0.000000022
     9    -0.000035613    -0.000781922      0.000000008     0.000000000
    10    -0.000034610    -0.000754452      0.000000006    -0.000000052
    11     0.000066865    -0.000726408      0.000000003     0.000000082
    12     0.000041131    -0.000726158      0.000000015    -0.000000179
    13     0.000016247    -0.000726182     -0.000000006     0.000000045
    14    -0.000033706    -0.000726899      0.000000005     0.000000127
    15    -0.000008775    -0.000726586      0.000000011     0.000000149
    16    -0.000061185    -0.000782012     -0.000000004    -0.000000030
    17    -0.000059993    -0.000754418     -0.000000021    -0.000000030
    18    -0.000058816    -0.000726796      0.000000000     0.000000000
    19     0.000066840    -0.000698631     -0.000000004     0.000000067
    20     0.000040927    -0.000698100      0.000000020    -0.000000067
    21     0.000016230    -0.000698261      0.000000011     0.000000030
    22    -0.000008497    -0.000698719     -0.000000000    -0.000000067
    23    -0.000033145    -0.000699007      0.000000003    -0.000000052
    24    -0.000058068    -0.000699189      0.000000001    -0.000000015
    25    -0.000086766    -0.000782143      0.000000010    -0.000000030
    26    -0.000085698    -0.000754434     -0.000000006     0.000000037
    27    -0.000084508    -0.000726766     -0.000000012    -0.000000075
    28    -0.000083945    -0.000699126      0.000000002    -0.000000067
    29     0.000066769    -0.000670820      0.000000002     0.000000011
    30     0.000040001    -0.000670372      0.000000002    -0.000000089
    31     0.000015981    -0.000670284     -0.000000006    -0.000000037
    32    -0.000008218    -0.000670652      0.000000006    -0.000000171
    33    -0.000032621    -0.000671096      0.000000010     0.000000045
    34    -0.000057417    -0.000671356      0.000000000     0.000000007
    35    -0.000083178    -0.000671606      0.000000007     0.000000089
    36    -0.000112371    -0.000782306      0.000000014    -0.000000007
    37    -0.000111290    -0.000754342     -0.000000009    -0.000000075
    38    -0.000110556    -0.000726666     -0.000000006     0.000000007
    39    -0.000109783    -0.000699023      0.000000028     0.000000179
    40    -0.000109275    -0.000671466     -0.000000012     0.000000045
    41     0.000066633    -0.000642986      0.000000003     0.000000086
    42     0.000039961    -0.000642474      0.000000016    -0.000000071
    43     0.000015711    -0.000642368     -0.000000004    -0.000000093
    44    -0.000008344    -0.000642750      0.000000012    -0.000000004
    45    -0.000032701    -0.000643230     -0.000000006     0.000000011
    46    -0.000057141    -0.000643637     -0.000000004    -0.000000089
    47    -0.000082873    -0.000643809      0.000000018    -0.000000112
    48    -0.000108479    -0.000644020      0.000000026    -0.000000045
    49    -0.000138007    -0.000782487      0.000000017     0.000000007
    50    -0.000137205    -0.000754449     -0.000000007    -0.000000127
    51    -0.000136615    -0.000726591      0.000000006     0.000000067
    52    -0.000136643    -0.000699075     -0.000000017     0.000000015
    53    -0.000136116    -0.000671425      0.000000003     0.000000115
    54    -0.000135709    -0.000643765      0.000000025     0.000000000
    55     0.000066415    -0.000615147     -0.000000016     0.000000052
    56     0.000040063    -0.000614557     -0.000000013    -0.000000183
    57     0.000015672    -0.000614466      0.000000007    -0.000000130
    58    -0.000008468    -0.000614726      0.000000016     0.000000212
    59    -0.000032671    -0.000615326      0.000000009     0.000000011
    60    -0.000057127    -0.000615844     -0.000000012    -0.000000045
    61    -0.000082357    -0.000616235      0.000000018     0.000000127
    62    -0.000108653    -0.000616309     -0.000000006    -0.000000078
    63    -0.000135168    -0.000616094     -0.000000027    -0.000000086
    64    -0.000163663    -0.000782669     -0.000000009 ***************
    65    -0.000163606    -0.000754957      0.000000017 ***************
    66    -0.000163546    -0.000727220      0.000000018 ***************
    67    -0.000163462    -0.000699443     -0.000000004 ***************
    68    -0.000163333    -0.000671632      0.000000018 ***************
    69    -0.000163138    -0.000643798      0.000000013 ***************
    70    -0.000162860    -0.000615959      0.000000001 ***************
    71     0.000066095    -0.000587325     -0.000000014    -0.000000004
    72     0.000039364    -0.000586633      0.000000008    -0.000000034
    73     0.000015304    -0.000586634      0.000000001    -0.000000127
    74    -0.000008807    -0.000586975      0.000000001    -0.000000086
    75    -0.000032641    -0.000587479     -0.000000011     0.000000075
    76    -0.000056856    -0.000588181     -0.000000005     0.000000123
    77    -0.000082495    -0.000588467      0.000000010    -0.000000089
    78    -0.000108360    -0.000588543     -0.000000002    -0.000000101
    79    -0.000134774    -0.000588522      0.000000010     0.000000097
    80    -0.000162482    -0.000588138     -0.000000004 ***************
    81     0.000065659    -0.000559546     -0.000000004     0.000000045
    82     0.000038885    -0.000558653      0.000000007    -0.000000134
    83     0.000014807    -0.000558858      0.000000011    -0.000000075
    84    -0.000008961    -0.000559094      0.000000008     0.000000041
    85    -0.000032752    -0.000559665      0.000000016    -0.000000037
    86    -0.000056578    -0.000560453     -0.000000011     0.000000011
    87    -0.000082142    -0.000560864     -0.000000003    -0.000000082
    88    -0.000107863    -0.000561001      0.000000022    -0.000000060
    89    -0.000134546    -0.000560755      0.000000012     0.000000022
    90    -0.000161988    -0.000560359     -0.000000011 ***************
    91     0.000065088    -0.000531841      0.000000004    -0.000000048
    92     0.000037760    -0.000530917     -0.000000004     0.000000127
    93     0.000014081    -0.000530888     -0.000000005    -0.000000026
    94    -0.000009396    -0.000531336      0.000000004     0.000000078
    95    -0.000032666    -0.000531781      0.000000009     0.000000030
    96    -0.000056329    -0.000532854     -0.000000017    -0.000000052
    97    -0.000081893    -0.000533137     -0.000000017    -0.000000101
    98    -0.000107560    -0.000533328      0.000000008    -0.000000041
    99    -0.000133939    -0.000533060     -0.000000020     0.000000000
   100    -0.000161358    -0.000532655     -0.000000010 ***************
   101     0.000064364    -0.000504247     -0.000000004     0.000000004
   102     0.000036047    -0.000503051      0.000000005    -0.000000056
   103     0.000013314    -0.000503252      0.000000009     0.000000063
   104    -0.000009520    -0.000503366      0.000000008     0.000000089
   105    -0.000032761    -0.000504073      0.000000003    -0.000000115
   106    -0.000057119    -0.000504968      0.000000006     0.000000056
   107    -0.000081385    -0.000505666      0.000000000    -0.000000034
   108    -0.000106744    -0.000505766      0.000000040    -0.000000041
