 Node                  Displacements                                    Applied/reaction forces
number           W              PSI1           PSI2          1-direction     2-direction    3-direction
     1       0.0000000       0.0000000       0.0000000        0.2500000       5.0000000      -0.0000000
     2       0.0000000       0.0000000       0.0000000        0.5000000      10.0000000      -0.0000000
     3       0.0000000       0.0000000       0.0000000        0.2500000       5.0000000      -0.0000000
     4      -0.0060621      -0.0150528      -0.0000000       -0.0000000      -0.0000000      -0.0000000
     5      -0.0060621      -0.0150528      -0.0000000        0.0000000       0.0000000      -0.0000000
     6      -0.0060621      -0.0150528      -0.0000000        0.0000000      -0.0000000      -0.0000000
     7      -0.0239206      -0.0294912      -0.0000000       -0.0000000       0.0000000       0.0000000
     8      -0.0239206      -0.0294912      -0.0000000       -0.0000000       0.0000000       0.0000000
     9      -0.0239206      -0.0294912      -0.0000000        0.0000000       0.0000000       0.0000000
    10      -0.0530842      -0.0433152      -0.0000000        0.0000000       0.0000000      -0.0000000
    11      -0.0530842      -0.0433152      -0.0000000       -0.0000000      -0.0000000      -0.0000000
    12      -0.0530842      -0.0433152      -0.0000000        0.0000000      -0.0000000      -0.0000000
    13      -0.0930611      -0.0565248      -0.0000000        0.0000000       0.0000000      -0.0000000
    14      -0.0930611      -0.0565248      -0.0000000       -0.0000000       0.0000000      -0.0000000
    15      -0.0930611      -0.0565248      -0.0000000       -0.0000000      -0.0000000      -0.0000000
    16      -0.1433600      -0.0691200      -0.0000000        0.0000000      -0.0000000      -0.0000000
    17      -0.1433600      -0.0691200      -0.0000000        0.0000000       0.0000000      -0.0000000
    18      -0.1433600      -0.0691200      -0.0000000        0.0000000      -0.0000000      -0.0000000
    19      -0.2034893      -0.0811008      -0.0000000        0.0000000       0.0000000      -0.0000000
    20      -0.2034893      -0.0811008      -0.0000000       -0.0000000      -0.0000000      -0.0000000
    21      -0.2034893      -0.0811008      -0.0000000       -0.0000000      -0.0000000       0.0000000
    22      -0.2729574      -0.0924672      -0.0000000        0.0000000       0.0000000       0.0000000
    23      -0.2729574      -0.0924672      -0.0000000        0.0000000       0.0000000      -0.0000000
    24      -0.2729574      -0.0924672      -0.0000000       -0.0000000       0.0000000      -0.0000000
    25      -0.3512730      -0.1032192      -0.0000000        0.0000000      -0.0000000      -0.0000000
    26      -0.3512730      -0.1032192      -0.0000000        0.0000000       0.0000000      -0.0000000
    27      -0.3512730      -0.1032192      -0.0000000       -0.0000000       0.0000000      -0.0000000
    28      -0.4379443      -0.1133568      -0.0000000        0.0000000       0.0000000      -0.0000000
    29      -0.4379443      -0.1133568      -0.0000000       -0.0000000       0.0000000      -0.0000000
    30      -0.4379443      -0.1133568      -0.0000000       -0.0000000      -0.0000000       0.0000000
    31      -0.5324800      -0.1228800      -0.0000000        0.0000000       0.0000000      -0.0000000
    32      -0.5324800      -0.1228800      -0.0000000        0.0000000       0.0000000      -0.0000000
    33      -0.5324800      -0.1228800      -0.0000000       -0.0000000       0.0000000      -0.0000000
    34      -0.6343885      -0.1317888      -0.0000000        0.0000000      -0.0000000       0.0000000
    35      -0.6343885      -0.1317888      -0.0000000       -0.0000000      -0.0000000      -0.0000000
    36      -0.6343885      -0.1317888      -0.0000000        0.0000000      -0.0000000       0.0000000
    37      -0.7431782      -0.1400832      -0.0000000        0.0000000      -0.0000000      -0.0000000
    38      -0.7431782      -0.1400832      -0.0000000       -0.0000000      -0.0000000       0.0000000
    39      -0.7431782      -0.1400832      -0.0000000       -0.0000000       0.0000000       0.0000000
    40      -0.8583578      -0.1477632      -0.0000000        0.0000000       0.0000000      -0.0000000
    41      -0.8583578      -0.1477632      -0.0000000       -0.0000000      -0.0000000      -0.0000000
    42      -0.8583578      -0.1477632      -0.0000000        0.0000000      -0.0000000       0.0000000
    43      -0.9794355      -0.1548288      -0.0000000        0.0000000       0.0000000      -0.0000000
    44      -0.9794355      -0.1548288      -0.0000000        0.0000000       0.0000000      -0.0000000
    45      -0.9794355      -0.1548288      -0.0000000       -0.0000000       0.0000000      -0.0000000
    46      -1.1059200      -0.1612800      -0.0000000        0.0000000       0.0000000       0.0000000
    47      -1.1059200      -0.1612800      -0.0000000       -0.0000000       0.0000000       0.0000000
    48      -1.1059200      -0.1612800      -0.0000000        0.0000000       0.0000000       0.0000000
    49      -1.2373197      -0.1671168       0.0000000        0.0000000       0.0000000       0.0000000
    50      -1.2373197      -0.1671168      -0.0000000        0.0000000       0.0000000      -0.0000000
    51      -1.2373197      -0.1671168      -0.0000000        0.0000000      -0.0000000       0.0000000
    52      -1.3731430      -0.1723392      -0.0000000        0.0000000       0.0000000      -0.0000000
    53      -1.3731430      -0.1723392      -0.0000000       -0.0000000       0.0000000      -0.0000000
    54      -1.3731430      -0.1723392       0.0000000        0.0000000       0.0000000      -0.0000000
    55      -1.5128986      -0.1769472      -0.0000000       -0.0000000       0.0000000       0.0000000
    56      -1.5128986      -0.1769472      -0.0000000        0.0000000       0.0000000       0.0000000
    57      -1.5128986      -0.1769472       0.0000000        0.0000000       0.0000000      -0.0000000
    58      -1.6560947      -0.1809408       0.0000000        0.0000000       0.0000000      -0.0000000
    59      -1.6560947      -0.1809408      -0.0000000        0.0000000       0.0000000      -0.0000000
    60      -1.6560947      -0.1809408      -0.0000000       -0.0000000       0.0000000      -0.0000000
    61      -1.8022400      -0.1843201      -0.0000002       -0.0000000      -0.0000000       0.0000000
    62      -1.8022400      -0.1843199      -0.0000000        0.0000000       0.0000000       0.0000000
    63      -1.8022400      -0.1843201       0.0000002        0.0000000       0.0000000       0.0000000
    64      -1.9508428      -0.1870843       0.0000005        0.0000000       0.0000000       0.0000000
    65      -1.9508430      -0.1870853      -0.0000000        0.0000000       0.0000000      -0.0000000
    66      -1.9508428      -0.1870843      -0.0000005       -0.0000000       0.0000000      -0.0000000
    67      -2.1014120      -0.1892377      -0.0000008       -0.0000000      -0.0000000      -0.0000000
    68      -2.1014117      -0.1892327      -0.0000000       -0.0000000       0.0000000       0.0000000
    69      -2.1014120      -0.1892377       0.0000008        0.0000000       0.0000000      -0.0000000
    70      -2.2534558      -0.1907638      -0.0000027        0.0000000       0.0000000      -0.0000000
    71      -2.4064775      -0.1917030       0.0000265        0.0000000       0.0000000      -0.0000000
    72      -2.5600203      -0.1920413      -0.0001220       -0.5000000       0.0000000      -0.0000000
    73      -2.2534549      -0.1907786      -0.0000000       -0.0000000       0.0000000      -0.0000000
    74      -2.2534558      -0.1907638       0.0000027       -0.0000000       0.0000000      -0.0000000
    75      -2.4064863      -0.1916826      -0.0000000       -0.0000000       0.0000000      -0.0000000
    76      -2.5599797      -0.1919587      -0.0000000        0.0000000       0.0000000       0.0000000
    77      -2.4064775      -0.1917030      -0.0000265       -0.0000000       0.0000000      -0.0000000
    78      -2.5600203      -0.1920413       0.0001220       -0.5000000       0.0000000      -0.0000000
                                            ___________     ___________
                              Summation    10.500000005     9.500000005

Element                    Element strain                                   Principal stresses
number      1-direction       2-direction       3-direction        sigma 1           sigma 2          direction
      1      -0.018816000       0.000000000      -0.000000000        0.000000001 *****************       1.570796327
      2      -0.018048000      -0.000000000      -0.000000000       -0.000000003 *****************       1.570796327
      3      -0.017280000       0.000000000      -0.000000000        0.000000005 *****************       1.570796327
      4      -0.016512000       0.000000000      -0.000000000        0.000000011 *****************       1.570796327
      5      -0.015744000       0.000000000      -0.000000000        0.000000012 *****************       1.570796327
      6      -0.014976000       0.000000000      -0.000000000        0.000000129 *****************       1.570796327
      7      -0.014208000      -0.000000000      -0.000000000       -0.000000182 *****************       1.570796327
      8      -0.013440000      -0.000000000      -0.000000000       -0.000000861 *****************       1.570796327
      9      -0.012672000       0.000000000      -0.000000000        0.000006636 *****************       1.570796327
     10      -0.011904000      -0.000000000      -0.000000000       -0.000028292 *****************       1.570796327
     11      -0.011136000       0.000000000      -0.000000000        0.000076378 *****************       1.570796327
     12      -0.010368000      -0.000000000      -0.000000000       -0.000068224 *****************       1.570796327
     13      -0.009600000      -0.000000000      -0.000000000       -0.000639958 -960000.000305444       1.570796327
     14      -0.008832000       0.000000000      -0.000000000        0.004761518 -883200.000268566       1.570796327
     15      -0.008064000      -0.000000000       0.000000001       -0.019664973 -806400.000231411      -1.570796327
     16      -0.007296000       0.000000001      -0.000000001        0.052107593 -729600.000197041       1.570796327
     17      -0.006528000      -0.000000000      -0.000000000       -0.041240571 -652800.000166082       1.570796327
     18      -0.005760000      -0.000000005       0.000000021       -0.469435560 -576000.000135946      -1.570796327
     19      -0.004992000       0.000000034      -0.000000120        3.372112319 -499200.000105417       1.570796327
     20      -0.004224000      -0.000000137       0.000000432      -13.703430343 -422400.000074950      -1.570796327
     21      -0.003456000       0.000000356      -0.000000931       35.567565919 -345600.000046781       1.570796327
     22      -0.002688000      -0.000000243      -0.000000369      -24.294771718 -268800.000025764       1.570796327
     23      -0.001920000      -0.000003435       0.000014993     -343.464107759 -192000.000013488      -1.570796327
     24      -0.001152000       0.000023864      -0.000084527     2386.447103692 -115200.000004745       1.570796325
     25      -0.000384000      -0.000095435       0.000299179    -9543.450345816  -38400.000000653      -1.570796294
     26      -0.018816000       0.000000000      -0.000000000        0.000000001 *****************       1.570796327
     27      -0.018048000       0.000000000      -0.000000000        0.000000001 *****************       1.570796327
     28      -0.017280000       0.000000000      -0.000000000        0.000000005 *****************       1.570796327
     29      -0.016512000       0.000000000      -0.000000000        0.000000012 *****************       1.570796327
     30      -0.015744000      -0.000000000      -0.000000000       -0.000000023 *****************       1.570796327
     31      -0.014976000       0.000000000      -0.000000000        0.000000131 *****************       1.570796327
     32      -0.014208000      -0.000000000      -0.000000000       -0.000000135 *****************       1.570796327
     33      -0.013440000      -0.000000000      -0.000000000       -0.000000869 *****************       1.570796327
     34      -0.012672000       0.000000000      -0.000000000        0.000006715 *****************       1.570796327
     35      -0.011904000      -0.000000000      -0.000000000       -0.000028226 *****************       1.570796327
     36      -0.011136000       0.000000000      -0.000000000        0.000076319 *****************       1.570796327
     37      -0.010368000      -0.000000000      -0.000000000       -0.000068213 *****************       1.570796327
     38      -0.009600000      -0.000000000      -0.000000000       -0.000639865 -960000.000412686       1.570796327
     39      -0.008832000       0.000000000       0.000000000        0.004761476 -883200.000366689      -1.570796327
     40      -0.008064000      -0.000000000      -0.000000001       -0.019665036 -806400.000321313       1.570796327
     41      -0.007296000       0.000000001       0.000000001        0.052107907 -729600.000277671      -1.570796327
     42      -0.006528000      -0.000000000       0.000000000       -0.041240249 -652800.000234315      -1.570796327
     43      -0.005760000      -0.000000005      -0.000000021       -0.469435839 -576000.000190713       1.570796327
     44      -0.004992000       0.000000034       0.000000120        3.372112374 -499200.000148872      -1.570796327
     45      -0.004224000      -0.000000137      -0.000000432      -13.703429959 -422400.000109235       1.570796327
     46      -0.003456000       0.000000356       0.000000930       35.567566304 -345600.000073637      -1.570796327
     47      -0.002688000      -0.000000243       0.000000369      -24.294772185 -268800.000045591      -1.570796327
     48      -0.001920000      -0.000003435      -0.000014993     -343.464108051 -192000.000024568       1.570796327
     49      -0.001152000       0.000023864       0.000084527     2386.447104091 -115200.000009326      -1.570796325
     50      -0.000384000      -0.000095435      -0.000299179    -9543.450346273  -38400.000001376       1.570796294
