 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.055330696     0.176385815
     2    -0.210855989    -0.321984564     -0.000000000     0.000000000
     3    -0.373874823    -0.576288988     -0.000000000    -0.000000000
     4    -0.548316160    -0.806174071      0.000000000     0.000000000
     5    -0.737778532    -1.023645620     -0.000000000     0.000000000
     6    -0.947817783    -1.232257364      0.000000000     0.000000000
     7    -1.181515417    -1.433436869     -0.000000000     0.000000000
     8    -1.441513551    -1.627191884     -0.000000000     0.000000000
     9    -1.729845655    -1.812401595     -0.000000000     0.000000000
    10    -2.047712522    -1.987016172      0.000000000    -0.000000000
    11    -2.395218818    -2.148413294     -0.000000000    -0.000000000
    12    -2.771402130    -2.293929853      0.000000000     0.000000000
    13    -3.174731049    -2.421454947      0.000000000    -0.000000000
    14    -3.605366000    -2.529982227      0.000000000    -0.000000000
    15    -4.066446438    -2.618098388     -0.000000000    -0.000000000
    16    -4.606472263    -2.672872504     -0.050000000     0.000000000
    17    -5.134007089    -2.684753489     -0.100000000    -0.000000000
    18    -5.559463132    -2.671509308     -0.100000000     0.000000000
    19    -5.936555404    -2.653202635     -0.100000000    -0.000000000
    20    -6.276117375    -2.636483213     -0.100000000     0.000000000
    21    -6.587309904    -2.625333533     -0.100000000     0.000000000
    22    -6.877781877    -2.622660113     -0.100000000     0.000000000
    23    -7.155097724    -2.630088968     -0.100000000     0.000000000
    24    -7.426711598    -2.647690191     -0.100000000    -0.000000000
    25    -7.699357485    -2.673439609     -0.100000000     0.000000000
    26    -7.976367421    -2.702946908     -0.050000000    -0.000000000
    27     0.000000000     0.000000000      0.035539337     0.227710127
    28    -0.137934678    -0.208512228      0.000000000     0.000000000
    29    -0.309248291    -0.432140339     -0.000000000    -0.000000000
    30    -0.485587871    -0.640014893      0.000000000     0.000000000
    31    -0.677919018    -0.835052313      0.000000000     0.000000000
    32    -0.890190831    -1.019877965     -0.000000000     0.000000000
    33    -1.126003179    -1.195887031      0.000000000     0.000000000
    34    -1.388260114    -1.363348197      0.000000000     0.000000000
    35    -1.679308102    -1.521605236      0.000000000     0.000000000
    36    -2.000600265    -1.669238389      0.000000000     0.000000000
    37    -2.352388436    -1.804268456      0.000000000     0.000000000
    38    -2.733677733    -1.924394697     -0.000000000     0.000000000
    39    -3.142879097    -2.027126814      0.000000000     0.000000000
    40    -3.579086485    -2.109573485     -0.000000000    -0.000000000
    41    -4.048540016    -2.167308046      0.000000000    -0.000000000
    42    -4.550817619    -2.209600584      0.000000000    -0.000000000
    43    -5.039417305    -2.250020746     -0.000000000    -0.000000000
    44    -5.469858942    -2.280704375      0.000000000    -0.000000000
    45    -5.847407168    -2.297360026     -0.000000000    -0.000000000
    46    -6.186639353    -2.308119785     -0.000000000     0.000000000
    47    -6.496306934    -2.318056779      0.000000000    -0.000000000
    48    -6.784541102    -2.330376224      0.000000000     0.000000000
    49    -7.059238998    -2.346906459     -0.000000000     0.000000000
    50    -7.328228854    -2.368350454      0.000000000    -0.000000000
    51    -7.598758361    -2.394474496     -0.000000000     0.000000000
    52    -7.875878004    -2.423890482     -0.000000000     0.000000000
    53     0.000000000     0.000000000      0.031421483     0.173978528
    54    -0.109253193    -0.162659632     -0.000000000    -0.000000000
    55    -0.260395561    -0.332820451     -0.000000000     0.000000000
    56    -0.434902540    -0.504705715      0.000000000     0.000000000
    57    -0.627465541    -0.670108540     -0.000000000     0.000000000
