 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000     -0.642974327    -2.017178505
     2     2.383299175     3.634256653     -0.000000000    -0.000000000
     3     4.045760420     6.474048241      0.000000000     0.000000000
     4     5.665875343     9.041312528     -0.000000000     0.000000000
     5     7.294144286    11.479622331      0.000000000    -0.000000000
     6     8.993448764    13.829925887     -0.000000000     0.000000000
     7    10.789903858    16.110902369      0.000000000    -0.000000000
     8    12.699824519    18.331494467     -0.000000000     0.000000000
     9    14.732958941    20.496326991     -0.000000000    -0.000000000
    10    16.895438442    22.607599868     -0.000000000    -0.000000000
    11    19.191038028    24.666049375      0.000000000    -0.000000000
    12    21.621938219    26.671437143      0.000000000     0.000000000
    13    24.189168092    28.622818303     -0.000000000     0.000000000
    14    26.892873966    30.518686286      0.000000000    -0.000000000
    15    29.732473460    32.357047017      0.000000000    -0.000000000
    16    32.706727870    34.135453388      0.000000000     0.000000000
    17    35.813751094    35.851022312      0.000000000     0.000000000
    18    39.050968035    37.500453314      0.000000000     0.000000000
    19    42.415035364    39.080066169      0.000000000    -0.000000000
    20    45.901740773    40.585873683      0.000000000     0.000000000
    21    49.505901994    42.013702948      0.000000000    -0.000000000
    22    53.221292510    43.359373769      0.000000000     0.000000000
    23    57.040625721    44.618936099      0.000000000    -0.000000000
    24    60.955632257    45.788959941      0.000000000     0.000000000
    25    64.957265810    46.866862151      0.000000000     0.000000000
    26    69.036071936    47.851246446      0.000000000     0.000000000
    27    73.182754301    48.742227215      0.000000000    -0.000000000
    28    77.388980251    49.541705759      0.000000000    -0.000000000
    29    81.648489096    50.253568821      0.000000000    -0.000000000
    30    85.958652974    50.883789866      0.000000000     0.000000000
    31    90.322710303    51.440394707      0.000000000    -0.000000000
    32    94.753961471    51.933387025      0.000000000    -0.000000000
    33    99.281232590    52.373762634      0.000000000     0.000000000
    34   103.980905564    52.773338779      0.000000000    -0.000000000
    35   108.956603913    53.106303730      0.000000000    -0.000000000
    36   115.189916758    53.123013082      1.000000000     0.000000000
    37   119.967358751    52.838050585      1.000000000     0.000000000
    38   124.277138374    52.529812739      1.000000000     0.000000000
    39   128.235917306    52.251640281      1.000000000    -0.000000000
    40   131.939152426    52.017281488      1.000000000    -0.000000000
    41   135.440255513    51.838707752      1.000000000    -0.000000000
    42   138.782006720    51.725785436      1.000000000     0.000000000
    43   142.001382864    51.686922727      1.000000000    -0.000000000
    44   145.133190683    51.728988797      1.000000000     0.000000000
    45   148.211975232    51.857427449      1.000000000    -0.000000000
    46   151.273668162    52.076569852      1.000000000    -0.000000000
    47   154.358500852    52.390698719      1.000000000    -0.000000000
    48   157.514061078    52.806167861      1.000000000     0.000000000
    49   160.828896392    53.341428892      1.000000000     0.000000000
    50   164.408163152    54.016897931      1.000000000     0.000000000
    51   169.536702605    54.727898596      1.000000000    -0.000000000
    52     0.000000000     0.000000000     -0.435700343    -2.686135770
    53     1.554130794     2.461663851     -0.000000000    -0.000000000
    54     3.304562425     5.106980919      0.000000000    -0.000000000
    55     4.941180273     7.583368334     -0.000000000    -0.000000000
    56     6.598005654     9.926216318     -0.000000000    -0.000000000
    57     8.319038968    12.168607044      0.000000000    -0.000000000
    58    10.134753984    14.331477512     -0.000000000    -0.000000000
    59    12.062108828    16.426907343     -0.000000000     0.000000000
    60    14.111703480    18.461878926     -0.000000000    -0.000000000
    61    16.290154420    20.440331145      0.000000000    -0.000000000
    62    18.601580518    22.364292129     -0.000000000    -0.000000000
    63    21.048406688    24.234518775      0.000000000    -0.000000000
    64    23.631850103    26.050869031     -0.000000000    -0.000000000
    65    26.352212715    27.812522366      0.000000000     0.000000000
    66    29.209050749    29.518111007     -0.000000000    -0.000000000
    67    32.201255771    31.165799124     -0.000000000     0.000000000
    68    35.327066849    32.753334813     -0.000000000    -0.000000000
    69    38.584027137    34.278093632     -0.000000000    -0.000000000
    70    41.968898014    35.737129167     -0.000000000    -0.000000000
    71    45.477547388    37.127243457     -0.000000000     0.000000000
    72    49.104834445    38.445087055     -0.000000000    -0.000000000
    73    52.844519407    39.687294141     -0.000000000    -0.000000000
    74    56.689232344    40.850652337     -0.000000000    -0.000000000
    75    60.630538515    41.932299637      0.000000000     0.000000000
    76    64.659138463    42.929932761     -0.000000000     0.000000000
    77    68.765239944    43.842002484     -0.000000000    -0.000000000
    78    72.939138457    44.667862211     -0.000000000     0.000000000
    79    77.172049084    45.407824267      0.000000000     0.000000000
    80    81.457260418    46.063058663     -0.000000000     0.000000000
    81    85.791737157    46.635225898     -0.000000000    -0.000000000
    82    90.178563571    47.125625655     -0.000000000     0.000000000
    83    94.630629563    47.533364255     -0.000000000    -0.000000000
    84    99.180068261    47.851109628     -0.000000000     0.000000000
    85   103.885959071    48.056946371     -0.000000000     0.000000000
    86   108.940264099    48.094256251     -0.000000000     0.000000000
    87   114.266495260    48.194842294     -0.000000000     0.000000000
    88   119.114501006    48.370413232     -0.000000000     0.000000000
    89   123.414646964    48.412245826     -0.000000000     0.000000000
    90   127.372389572    48.399040925      0.000000000     0.000000000
    91   131.066537597    48.373185416     -0.000000000    -0.000000000
    92   134.554630301    48.360327191     -0.000000000     0.000000000
    93   137.879986957    48.377059438     -0.000000000     0.000000000
    94   141.080470204    48.434790047     -0.000000000     0.000000000
    95   144.191579973    48.541264474     -0.000000000     0.000000000
    96   147.248525274    48.701115344     -0.000000000     0.000000000
    97   150.288057548    48.915775684      0.000000000     0.000000000
    98   153.350731659    49.182509683     -0.000000000     0.000000000
    99   156.488842799    49.490866227     -0.000000000    -0.000000000
   100   159.771933308    49.812945392     -0.000000000     0.000000000
   101   163.421252277    50.062665477      0.000000000    -0.000000000
   102   167.379471062    50.441886449      0.000000000    -0.000000000
   103     0.000000000     0.000000000     -0.379831139    -2.199632243
   104     1.203322664     2.064474975     -0.000000000    -0.000000000
   105     2.704157853     4.237236231     -0.000000000    -0.000000000
   106     4.309125382     6.449520667     -0.000000000    -0.000000000
   107     5.963994384     8.604767783     -0.000000000    -0.000000000
   108     7.696348723    10.689680092     -0.000000000    -0.000000000
   109     9.526101154    12.706664190     -0.000000000    -0.000000000
   110    11.468288851    14.661028683     -0.000000000    -0.000000000
   111    13.532808029    16.557200118     -0.000000000    -0.000000000
   112    15.726180261    18.398248170     -0.000000000    -0.000000000
   113    18.052573575    20.186035672     -0.000000000    -0.000000000
   114    20.514509113    21.921468849     -0.000000000    -0.000000000
   115    23.113308363    23.604707710     -0.000000000     0.000000000
   116    25.849378271    25.235319057     -0.000000000    -0.000000000
   117    28.722381837    26.812380106     -0.000000000    -0.000000000
   118    31.731322501    28.334545832     -0.000000000     0.000000000
   119    34.874558312    29.800093155     -0.000000000    -0.000000000
   120    38.149757329    31.206954404     -0.000000000     0.000000000
   121    41.553806250    32.552751807     -0.000000000     0.000000000
   122    45.082688430    33.834843777      0.000000000    -0.000000000
   123    48.731353973    35.050391828      0.000000000    -0.000000000
   124    52.493611901    36.196453619     -0.000000000     0.000000000
   125    56.362080958    37.270102452     -0.000000000    -0.000000000
   126    60.328239889    38.268566641     -0.000000000    -0.000000000
   127    64.382619152    39.189373785     -0.000000000     0.000000000
   128    68.515174485    40.030475740     -0.000000000    -0.000000000
   129    72.715881071    40.790320286     -0.000000000    -0.000000000
   130    76.975591575    41.467824679      0.000000000     0.000000000
   131    81.287219454    42.062193283     -0.000000000     0.000000000
   132    85.647379181    42.572504339      0.000000000     0.000000000
